Title,Name,Date,Medium,Dimensions,Acquisition Date,Department,Classification,Height (cm),Width (cm),,
"Bismarck Monument, project, Bingen, Germany, Perspective view of courtyard",Ludwig Mies van der Rohe,1910,Gouache,"55 1/2 x 94 1/2"" (141 x 240 cm)",4/22/98,Architecture & Design,Architecture,141,240,,
"Bismarck Monument Project, Bingen, Germany (Perspective)",Ludwig Mies van der Rohe,1910,Photo collage and ink on illustration board,"30 x 40"" (76.2 x 101.6 cm)",,Architecture & Design,Mies van der Rohe Archive,76.2,101.6,,
"Bismarck Monument Project, Bingen, Germany, Elevation",Ludwig Mies van der Rohe,1910,Pencil and colored pastel on tracing paper,"39 3/4 x 7' 1 1/2"" (101 x 217.2 cm)",,Architecture & Design,Mies van der Rohe Archive,100.9652,217.1704,,
"Bismarck Monument Project, Bingen, Germany, Perspective",Ludwig Mies van der Rohe,1910,Pencil on tracing paper,"26 x 35 3/4"" (66 x 90.8 cm)",,Architecture & Design,Mies van der Rohe Archive,66.04013208,90.80518161,,
"Perls House, Berlin-Zehlendorf, Germany (Plans, elevations and section)",Ludwig Mies van der Rohe,1911,Pencil on print,"18 1/2 x 32 1/4"" (47 x 81.9 cm)",,Architecture & Design,Mies van der Rohe Archive,46.99009398,81.91516383,,
"Kröller-Müller Villa Project, Wassenaar, The Netherlands (Sketch plan of ground floor)",Ludwig Mies van der Rohe,1912,Pencil on tracing paper,"8 3/8 x 17 5/8"" (21.3 x 44.8 cm)",2/22/16,Architecture & Design,Architecture,21.2725,44.7676,,
"Werner House, Berlin-Zehlendorf,  Germany, Four elevations",Ludwig Mies van der Rohe,1913,Print,"12 1/4 x 28 1/2"" (31.1 x 72.4 cm)",,Architecture & Design,Mies van der Rohe Archive,31.11506223,72.39014478,,
"Werner House, Berlin-Zehlendorf, Germany, Four plans",Ludwig Mies van der Rohe,1913,Print,"12 3/4 x 30 1/2"" (32.4 x 77.5 cm)",,Architecture & Design,Mies van der Rohe Archive,32.38506477,77.47015494,,
"Werner House, Berlin-Zehlendorf, Germany (Four elevations, section)",Ludwig Mies van der Rohe,1913,Print,"12 1/4 x 29 1/4"" (31.1 x 74.3 cm)",,Architecture & Design,Mies van der Rohe Archive,31.11506223,74.29514859,,
"Werner House, Berlin-Zehlendorf, Germany, Four elevations, section",Ludwig Mies van der Rohe,1913,Print,"12 1/4 x 28 1/2"" (31.1 x 72.4 cm)",,Architecture & Design,Mies van der Rohe Archive,31.11506223,72.39014478,,
