artist,year,medium,quantity,notes
Ludwig Mies van der Rohe,1910,collage,1,bismarck monument 
Ludwig Mies van der Rohe,1910,gouache,1,bismarck monument 
Ludwig Mies van der Rohe,1910,pencil,2,bismarck monument 
Ludwig Mies van der Rohe,1911,pencil ,1,
Ludwig Mies van der Rohe,1912,pencil,1,
Ludwig Mies van der Rohe,1913,print,7,
Ludwig Mies van der Rohe,1915,print,2,
Ludwig Mies van der Rohe,1921,acrylic,2,
Ludwig Mies van der Rohe,1922,acrylic,1,
Ludwig Mies van der Rohe,1922,charcoal,2,
Ludwig Mies van der Rohe,1922,gouache,1,
Ludwig Mies van der Rohe,1922,ink,2,
Ludwig Mies van der Rohe,1922,pencil,15,glass skyscraper
Ludwig Mies van der Rohe,1922,print ,5,
Ludwig Mies van der Rohe,1923,charcoal,3,
Ludwig Mies van der Rohe,1923,colored pencil,1,
Ludwig Mies van der Rohe,1923,crayon,1,
Ludwig Mies van der Rohe,1923,graphite,1,
Ludwig Mies van der Rohe,1923,ink,1,
Ludwig Mies van der Rohe,1924,colored pencil,1,brick country house
Ludwig Mies van der Rohe,1924,ink,1,brick country house
Ludwig Mies van der Rohe,1924,pencil,1,
Ludwig Mies van der Rohe,1924,print,3,
Ludwig Mies van der Rohe,1925,pencil,58,
Ludwig Mies van der Rohe,1925,colored pencil,13,
Ludwig Mies van der Rohe,1925,ink,2,
Ludwig Mies van der Rohe,1925,acrylic,1,
Ludwig Mies van der Rohe,1925,print,63,
Ludwig Mies van der Rohe,1926,ink,18,
Ludwig Mies van der Rohe,1926,pencil,304,
Ludwig Mies van der Rohe,1926,colored pencil,33,
Ludwig Mies van der Rohe,1926,crayon,1,
Ludwig Mies van der Rohe,1926,gouache,1,
Ludwig Mies van der Rohe,1926,print,8,
Ludwig Mies van der Rohe,1926,charcoal,17,
Ludwig Mies van der Rohe,1927,colored pencil,18,
Ludwig Mies van der Rohe,1927,pencil,49,
Ludwig Mies van der Rohe,1927,print,3,
Ludwig Mies van der Rohe,1927,steel,9,
Ludwig Mies van der Rohe,1928,acrylic,2,
Ludwig Mies van der Rohe,1928,glass,1,
Ludwig Mies van der Rohe,1928,graphite,7,german pavilion
Ludwig Mies van der Rohe,1928,pencil,127,german pavilion
Ludwig Mies van der Rohe,1928,charcoal,6,german pavilion
Ludwig Mies van der Rohe,1928,colored pencil,20,german pavilion
Ludwig Mies van der Rohe,1928,print,25,german pavilion
Ludwig Mies van der Rohe,1928,lithograph,1,
Ludwig Mies van der Rohe,1928,ink,21,german pavilion
Ludwig Mies van der Rohe,1928,steel,2,
Ludwig Mies van der Rohe,1928,wood,1,
Ludwig Mies van der Rohe,1929,charcoal,1,
Ludwig Mies van der Rohe,1929,colored pencil,4,
Ludwig Mies van der Rohe,1929,ink,3,
Ludwig Mies van der Rohe,1929,pencil,22,
Ludwig Mies van der Rohe,1929,print,4,
Ludwig Mies van der Rohe,1929,steel,8,
Ludwig Mies van der Rohe,1929,wood,2,
Ludwig Mies van der Rohe,1930,steel,5,
Ludwig Mies van der Rohe,1930,glass,1,
Ludwig Mies van der Rohe,1930,pencil,172,
Ludwig Mies van der Rohe,1930,charcoal,3,
Ludwig Mies van der Rohe,1930,colored pencil,6,
Ludwig Mies van der Rohe,1930,print,1,
Ludwig Mies van der Rohe,1931,steel,3,
Ludwig Mies van der Rohe,1931,charcoal,11,
Ludwig Mies van der Rohe,1931,pencil,84,
Ludwig Mies van der Rohe,1931,graphite,1,
Ludwig Mies van der Rohe,1931,colored pencil,5,
Ludwig Mies van der Rohe,1931,ink,22,
Ludwig Mies van der Rohe,1932,colored pencil,2,
Ludwig Mies van der Rohe,1932,glass,1,
Ludwig Mies van der Rohe,1932,graphite,3,
Ludwig Mies van der Rohe,1932,pencil,31,
Ludwig Mies van der Rohe,1932,steel,1,
Ludwig Mies van der Rohe,1933,acrylic,1,
Ludwig Mies van der Rohe,1933,charcoal,2,
Ludwig Mies van der Rohe,1933,colored pencil,4,
Ludwig Mies van der Rohe,1933,ink,1,
Ludwig Mies van der Rohe,1933,pencil,31,
Ludwig Mies van der Rohe,1933,print ,1,
Ludwig Mies van der Rohe,1934,ink,15,
Ludwig Mies van der Rohe,1934,graphite,3,
Ludwig Mies van der Rohe,1934,pencil,118,
Ludwig Mies van der Rohe,1934,colored pencil,35,
Ludwig Mies van der Rohe,1934,charcoal,1,
Ludwig Mies van der Rohe,1934,print,1,
Ludwig Mies van der Rohe,1935,colored pencil,7,
Ludwig Mies van der Rohe,1935,ink,1,
Ludwig Mies van der Rohe,1935,pencil,26,
Ludwig Mies van der Rohe,1936,pencil,1,
Ludwig Mies van der Rohe,1937,collage,2,
Ludwig Mies van der Rohe,1937,colored pencil,10,
Ludwig Mies van der Rohe,1937,glass,2,
Ludwig Mies van der Rohe,1937,ink,3,
Ludwig Mies van der Rohe,1937,pencil,62,
Ludwig Mies van der Rohe,1937,print,1,
Ludwig Mies van der Rohe,1937,wood,1,
Ludwig Mies van der Rohe,1938,charcoal,1,
Ludwig Mies van der Rohe,1938,collage,2,
Ludwig Mies van der Rohe,1938,graphite,10,
Ludwig Mies van der Rohe,1938,pencil,8,
Ludwig Mies van der Rohe,1938,print,1,
Ludwig Mies van der Rohe,1938,wood,1,
Ludwig Mies van der Rohe,1939,charcoal,9,
Ludwig Mies van der Rohe,1939,collage,1,
Ludwig Mies van der Rohe,1939,colored pencil,1,
Ludwig Mies van der Rohe,1939,graphite,1,
Ludwig Mies van der Rohe,1939,ink,3,
Ludwig Mies van der Rohe,1939,pencil,33,
Ludwig Mies van der Rohe,1939,wood,1,
Ludwig Mies van der Rohe,1940,pencil,100,
Ludwig Mies van der Rohe,1940,ink,36,
Ludwig Mies van der Rohe,1940,colored pencil,10,
Ludwig Mies van der Rohe,1940,crayon,1,
Ludwig Mies van der Rohe,1940,graphite,1,
Ludwig Mies van der Rohe,1941,collage,1,
Ludwig Mies van der Rohe,1941,graphite,2,
Ludwig Mies van der Rohe,1941,ink,2,
Ludwig Mies van der Rohe,1941,pencil,4,
Ludwig Mies van der Rohe,1942,colored pencil,1,
Ludwig Mies van der Rohe,1942,gouache,1,
Ludwig Mies van der Rohe,1942,graphite,1,
Ludwig Mies van der Rohe,1942,ink,2,
Ludwig Mies van der Rohe,1942,pencil,6,
Ludwig Mies van der Rohe,1943,pencil,2,
Ludwig Mies van der Rohe,1944,pencil,58,
Ludwig Mies van der Rohe,1944,colored pencil,21,
Ludwig Mies van der Rohe,1944,crayon,1,
Ludwig Mies van der Rohe,1944,graphite,4,
Ludwig Mies van der Rohe,1944,ink,1,
Ludwig Mies van der Rohe,1945,ink,7,
Ludwig Mies van der Rohe,1945,crayon,2,
Ludwig Mies van der Rohe,1945,gouache,1,
Ludwig Mies van der Rohe,1945,paint,1,
Ludwig Mies van der Rohe,1945,wood,1,
Ludwig Mies van der Rohe,1945,charcoal,2,
Ludwig Mies van der Rohe,1945,colored pencil,12,farnsworth house
Ludwig Mies van der Rohe,1945,glass,1,
Ludwig Mies van der Rohe,1945,pencil,43,farnsworth house
Ludwig Mies van der Rohe,1946,charcoal,3,
Ludwig Mies van der Rohe,1946,ink,4,
Ludwig Mies van der Rohe,1946,pen,1,
Ludwig Mies van der Rohe,1946,pencil,10,
Ludwig Mies van der Rohe,1946,print,1,
Ludwig Mies van der Rohe,1947,collage,1,
Ludwig Mies van der Rohe,1947,graphite,1,
Ludwig Mies van der Rohe,1947,ink,2,
Ludwig Mies van der Rohe,1947,lithograph,1,
Ludwig Mies van der Rohe,1947,pencil,11,
Ludwig Mies van der Rohe,1948,charcoal,2,
Ludwig Mies van der Rohe,1948,colored pencil,2,
Ludwig Mies van der Rohe,1948,ink,3,
Ludwig Mies van der Rohe,1948,lithograph,1,
Ludwig Mies van der Rohe,1948,pencil,8,
Ludwig Mies van der Rohe,1948,print,1,
Ludwig Mies van der Rohe,1949,colored pencil,1,
Ludwig Mies van der Rohe,1949,ink,3,
Ludwig Mies van der Rohe,1949,pencil,30,farnsworth house
Ludwig Mies van der Rohe,1950,charcoal,2,
Ludwig Mies van der Rohe,1950,colored pencil,3,
Ludwig Mies van der Rohe,1950,ink,4,
Ludwig Mies van der Rohe,1950,pencil,49,farnsworth house
Ludwig Mies van der Rohe,1951,colored pencil,1,
Ludwig Mies van der Rohe,1951,ink,3,
Ludwig Mies van der Rohe,1951,pencil,22,
Ludwig Mies van der Rohe,1951,print,13,
Ludwig Mies van der Rohe,1952,crayon,1,
Ludwig Mies van der Rohe,1952,pen,1,
Ludwig Mies van der Rohe,1952,pencil,5,
Ludwig Mies van der Rohe,1953,colored pencil,1,
Ludwig Mies van der Rohe,1953,glass,1,
Ludwig Mies van der Rohe,1953,ink,3,
Ludwig Mies van der Rohe,1953,pencil,7,
Ludwig Mies van der Rohe,1953,wood,1,
Ludwig Mies van der Rohe,1954,collage,2,
Ludwig Mies van der Rohe,1954,ink,20,
Ludwig Mies van der Rohe,1954,pencil,36,
Ludwig Mies van der Rohe,1954,colored pencil,3,
Ludwig Mies van der Rohe,1955,collage,1,
Ludwig Mies van der Rohe,1955,colored pencil,4,
Ludwig Mies van der Rohe,1955,ink,8,
Ludwig Mies van der Rohe,1955,pencil,4,
Ludwig Mies van der Rohe,1956,ink,1,
Ludwig Mies van der Rohe,1956,pencil,4,
Ludwig Mies van der Rohe,1957,collage,1,
Ludwig Mies van der Rohe,1957,colored pencil,7,
Ludwig Mies van der Rohe,1957,crayon,1,
Ludwig Mies van der Rohe,1957,graphite,2,
Ludwig Mies van der Rohe,1957,ink,8,
Ludwig Mies van der Rohe,1957,pencil,42,
Ludwig Mies van der Rohe,1957,print,1,
Ludwig Mies van der Rohe,1957,wood,2,
Ludwig Mies van der Rohe,1958,colored pencil,7,
Ludwig Mies van der Rohe,1958,glass,1,
Ludwig Mies van der Rohe,1958,ink,5,
Ludwig Mies van der Rohe,1958,pencil,27,
Ludwig Mies van der Rohe,1958,wood,1,
Ludwig Mies van der Rohe,1959,charcoal,1,
Ludwig Mies van der Rohe,1959,colored pencil,11,
Ludwig Mies van der Rohe,1959,ink,6,
Ludwig Mies van der Rohe,1959,pencil,18,
Ludwig Mies van der Rohe,1960,ink,3,
Ludwig Mies van der Rohe,1960,pencil,2,
Ludwig Mies van der Rohe,1960,print,1,
Ludwig Mies van der Rohe,1962,collage,1,
Ludwig Mies van der Rohe,1962,colored pencil,3,
Ludwig Mies van der Rohe,1962,glass,2,
Ludwig Mies van der Rohe,1962,ink,5,
Ludwig Mies van der Rohe,1962,pencil,11,
Ludwig Mies van der Rohe,1962,steel,1,
Ludwig Mies van der Rohe,1962,wood,2,
Ludwig Mies van der Rohe,1963,ink,5,
Ludwig Mies van der Rohe,1963,pencil,3,
Ludwig Mies van der Rohe,1964,ink,1,
Ludwig Mies van der Rohe,1964,pencil,1,
Ludwig Mies van der Rohe,1965,pencil ,4,
Ludwig Mies van der Rohe,1967,colored pencil,1,
Ludwig Mies van der Rohe,1967,pen,1,
Ludwig Mies van der Rohe,1967,pencil,1,
Ludwig Mies van der Rohe,1967,ink,1,
Ludwig Mies van der Rohe,1968,pen,1,
Ludwig Mies van der Rohe,1968,pencil,1,
Ludwig Mies van der Rohe,1969,ink,1,
Ludwig Mies van der Rohe,1969,pen,1,
Ludwig Mies van der Rohe,1969,pencil,1,
